,title,director,year,imdb_score,gross,budget,duration,actor_1,actor_2,language,country,content_rating
0,Avatar ,James Cameron,2009.0,7.9,760505847.0,237000000.0,178.0,CCH Pounder,Joel David Moore,English,USA,PG-13
1,Pirates of the Caribbean: At World's End ,Gore Verbinski,2007.0,7.1,309404152.0,300000000.0,169.0,Johnny Depp,Orlando Bloom,English,USA,PG-13
2,Spectre ,Sam Mendes,2015.0,6.8,200074175.0,245000000.0,148.0,Christoph Waltz,Rory Kinnear,English,UK,PG-13
3,The Dark Knight Rises ,Christopher Nolan,2012.0,8.5,448130642.0,250000000.0,164.0,Tom Hardy,Christian Bale,English,USA,PG-13
4,John Carter ,Andrew Stanton,2012.0,6.6,73058679.0,263700000.0,132.0,Daryl Sabara,Samantha Morton,English,USA,PG-13
5,Spider-Man 3 ,Sam Raimi,2007.0,6.2,336530303.0,258000000.0,156.0,J.K. Simmons,James Franco,English,USA,PG-13
6,Tangled ,Nathan Greno,2010.0,7.8,200807262.0,260000000.0,100.0,Brad Garrett,Donna Murphy,English,USA,PG
7,Avengers: Age of Ultron ,Joss Whedon,2015.0,7.5,458991599.0,250000000.0,141.0,Chris Hemsworth,Robert Downey Jr.,English,USA,PG-13
8,Harry Potter and the Half-Blood Prince ,David Yates,2009.0,7.5,301956980.0,250000000.0,153.0,Alan Rickman,Daniel Radcliffe,English,UK,PG
9,Batman v Superman: Dawn of Justice ,Zack Snyder,2016.0,6.9,330249062.0,250000000.0,183.0,Henry Cavill,Lauren Cohan,English,USA,PG-13
10,Superman Returns ,Bryan Singer,2006.0,6.1,200069408.0,209000000.0,169.0,Kevin Spacey,Marlon Brando,English,USA,PG-13
11,Quantum of Solace ,Marc Forster,2008.0,6.7,168368427.0,200000000.0,106.0,Giancarlo Giannini,Mathieu Amalric,English,UK,PG-13
12,Pirates of the Caribbean: Dead Man's Chest ,Gore Verbinski,2006.0,7.3,423032628.0,225000000.0,151.0,Johnny Depp,Orlando Bloom,English,USA,PG-13
13,The Lone Ranger ,Gore Verbinski,2013.0,6.5,89289910.0,215000000.0,150.0,Johnny Depp,Ruth Wilson,English,USA,PG-13
14,Man of Steel ,Zack Snyder,2013.0,7.2,291021565.0,225000000.0,143.0,Henry Cavill,Christopher Meloni,English,USA,PG-13
15,The Chronicles of Narnia: Prince Caspian ,Andrew Adamson,2008.0,6.6,141614023.0,225000000.0,150.0,Peter Dinklage,Pierfrancesco Favino,English,USA,PG
