Price,Sqft,Baths,Location,price/sqft
2400,4918,4.5,"Bryan, TX",488
680,3645,3,"Bryan, TX",187
570,1900,2,"Bryan, TX",300
400,3123,3.5,"Bryan, TX",128
320,2365,3,"Bryan, TX",135
280,3361,3,"Bryan, TX",83
260,2383,2.5,"Bryan, TX",109
229,3770,4.5,"Bryan, TX",61
215,2979,3.5,"Bryan, TX",72
200,2088,2,"Bryan, TX",96
183,2343,2.5,"Bryan, TX",78
170,2526,2,"Bryan, TX",67
145,1812,2,"Bryan, TX",80
100,2432,2,"Bryan, TX",41
168,2988,2.5,"Bryan, TX",56
499,3486,4,"College Station, TX",143
492,3400,3,"College Station, TX",145
475,3517,3.5,"College Station, TX",135
460,4398,3.5,"College Station, TX",105
375,2835,3,"College Station, TX",132
360,3131,3,"College Station, TX",115
323,2561,3.5,"College Station, TX",126
288,2450,3,"College Station, TX",118
285,2667,2.5,"College Station, TX",107
281,2797,2.5,"College Station, TX",100
225,2474,2,"College Station, TX",91
225,2565,2.5,"College Station, TX",88
176,1978,2,"College Station, TX",89
165,1504,3,"College Station, TX",110
160,1496,4,"College Station, TX",107
